sample,function,source,Time,Time .1,Token number,tape number,clause I,clause f,clause m,Label,cluster,cluster_color,is_real
"[whispering] yeah, look yeah, I'm just  yeah, yeah []",DM,BNCJJ8,,,634.0,109501.0,1.0,0.0,0.0,,-1,gray (noise),True
The researcher faced skepticism when presenting his revolutionary theory.,DM,,,,,,,,,L,-1,gray (noise),False
She was discouraged by her boss's dismissal of her promotion request.,DM,,,,,,,,,L,-1,gray (noise),False
The designer was disappointed by the lackluster response to his latest collection.,DM,,,,,,,,,L,-1,gray (noise),False
The manager faced criticism when implementing new policies for the team.,DM,,,,,,,,,L,-1,gray (noise),False
He was concerned that his innovative idea would be met with resistance at the meeting.,DM,,,,,,,,,L,-1,gray (noise),False
The teacher faced challenges when trying to connect with disengaged students.,DM,,,,,,,,,L,-1,gray (noise),False
He was dismayed by the poor response to his latest marketing campaign.,DM,,,,,,,,,L,-1,gray (noise),False
She was discouraged by her team's lackluster effort during the brainstorming session.,DM,,,,,,,,,L,-1,gray (noise),False
The artist faced criticism when her latest series departed from traditional styles.,DM,,,,,,,,,L,-1,gray (noise),False
She was concerned about her company's response to recent environmental concerns.,DM,,,,,,,,,L,-1,gray (noise),False
The lawyer was dismayed by the negative press coverage surrounding her client's case.,DM,,,,,,,,,L,-1,gray (noise),False
He was frustrated by his boss's refusal to consider alternative solutions for the project.,DM,,,,,,,,,L,-1,gray (noise),False
He was puzzled by his team's inability to collaborate effectively during group projects.,DM,,,,,,,,,L,-1,gray (noise),False
She was overwhelmed by the number of meetings and deadlines on her calendar.,DM,,,,,,,,,L,-1,gray (noise),False
"Two friends are discussing the best vacation spot. Look, have you considered a trip to Norway's fjords? It's stunningly beautiful. The friend ponders and agrees it might be an interesting choice.",DM,,,,,,,,,L,-1,gray (noise),False
The teacher faced challenges when trying to motivate her disengaged students.,DM,,,,,,,,,L,-1,gray (noise),False
"Two friends are discussing their favorite books.Look, if you liked 'To Kill a Mockingbird,' I think you'd enjoy 'The Great Gatsby. One of them agrees to give it a read and expresses excitement about it.",DM,,,,,,,,,L,-1,gray (noise),False
And look I mean she'd never spend,DM,BNCKGV,,,80.0,122002.0,1.0,0.0,0.0,,-1,gray (noise),True
"And whether it's male or female, so, number eight, and in fact, number nine as well, because number nine was that couple of questions I said look don't get confused, they are actually  [clears throat]",DM,BNCKM3,,,822.0,105901.0,1.0,0.0,0.0,,-1,gray (noise),True
"audience.With this new approach, she received positive feedback on her presentation from both industry experts and laypeople alike.",DM,,,,,,,,,,-1,gray (noise),True
"better.With determination, she stayed true to her vision and earned recognition for her bold artistic choices.",DM,,,,,,,,,,-1,gray (noise),True
"But I said to Anne, Look I think you better get a doctor.",DM,BNCJYL,,,488.0,113301.0,0.0,0.0,1.0,,-1,gray (noise),True
"By opening up lines of communication, they resolved any lingering issues.",DM,,,,,,,,,,-1,gray (noise),True
could say to a parent but look the timetable says,DM,BNCJ8D,,,1934.0,78002.0,0.0,0.0,1.0,,-1,gray (noise),True
"David Okay, look, I haven't actually had a copy. You've obviously got it there.",DM,BNCJJ7,,,101.0,109301.0,1.0,0.0,0.0,,-1,gray (noise),True
"h it's not someth you know, it's not s something that I'm prepared to stick my neck out and say, Look you know, I I don't think that word ought to appear anywhere.",DM,BNCG4X,,,622.0,96601.0,1.0,0.0,0.0,,-1,gray (noise),True
I just wanted to  KNOW Well look when are we having our next tutorial?,DM,BNCHUL,,,646.0,102204.0,1.0,0.0,0.0,,-1,gray (noise),True
"I mean I says, look I says, I'm not, I'm not saying you can't have your parties or whatever, I says but I says not in the bedrooms.",DM,BNCGYM,,,317.0,97403.0,0.0,0.0,1.0,,-1,gray (noise),True
"I mean o okay it's, it's a difficult area but I, I just don't believe the communications were that bad that he didn't know what was going on and wasn't in a position to say look this is wrong.",DM,BNCJJL,,,791.0,113701.0,1.0,0.0,0.0,,-1,gray (noise),True
Look no let me just tell you what the,DM,BNCHUV,,,1304.0,107201.0,0.0,0.0,1.0,,-1,gray (noise),True
"Look, I cannae give you one out of there though.",DM,BNCKB8,,,2407.0,6900.0,1.0,0.0,0.0,,-1,gray (noise),True
"look, look, may I put it this way, we're in the directive of being able to point to something which permits the Secretary of State to delegate the function, that what's it for",DM,BNCJP1,,,917.0,123101.0,1.0,0.0,0.0,,-1,gray (noise),True
"Now look, now, now just let me tell her this",DM,BNCKB1,,,1560.0,5980.0,1.0,0.0,0.0,,-1,gray (noise),True
"Now this is important because another criticism th th that Darwin's critics made was, hey look, sometimes people inherit things that're very bad for them.",DM,BNCHUL,,,230.0,102204.0,0.0,0.0,1.0,,-1,gray (noise),True
"On the industrial side, I mentioned to Steve last year at the end of last year saying, look it's coming up to",DM,BNCJT5,,,491.0,124101.0,1.0,0.0,0.0,,-1,gray (noise),True
"read the lot, I mean, look what they doing language-wise, they're reading, they're evaluating, they're projecting  I mean,the that, they're doing quite complicated things",DM,BNCF7F,,,453.0,77903.0,0.0,0.0,1.0,,-1,gray (noise),True
"So I rang him a bit later, Now look, we've got a weeks notice, we know it's gonna take some time.",DM,BNCJTA,,,1000.0,124601.0,1.0,0.0,0.0,,-1,gray (noise),True
Their findings confirmed the validity of the new theory and led to significant advancements in their field.,DM,,,,,,,,,,-1,gray (noise),True
We said look we'll bring out a price guide,DM,BNCJA2,,,1304.0,117601.0,0.0,0.0,1.0,,-1,gray (noise),True
"Well look, let's stand back",DM,BNCJYL,,,845.0,113301.0,0.0,0.0,1.0,,-1,gray (noise),True
"With an open conversation, she gained valuable insights and received a revised offer she couldn't refuse.",DM,,,,,,,,,,-1,gray (noise),True
"With this new approach, she gained support for her initiative and organized a successful charity event that positively impacted local organizations.",DM,,,,,,,,,,-1,gray (noise),True
"With this new approach, she gained support for her initiative and organized a successful charity event that positively impacted local organizations.",DM,,,,,,,,,,-1,gray (noise),True
"With this new approach, she won approval for her concept and was given the green light to develop the product line.",DM,,,,,,,,,,-1,gray (noise),True
"Yeah, yes, no, very, look hold on",DM,BNCHV1,,,47.0,107701.0,1.0,0.0,0.0,,-1,gray (noise),True
"Yes, look I'm sorry we've got to raise rents by nine and a half percent.",DM,BNCJT5,,,431.0,124101.0,1.0,0.0,0.0,,-1,gray (noise),True
yknow look,DM,sw3040B-ms98-a-0013,90.2135,101.1,,,1.0,0.0,0.0,,-1,gray (noise),True
