sample,function,source,Time,Time .1,Token number,tape number,clause I,clause f,clause m,Label,cluster
"A group of friends went on a road trip across Europe. This is an adventure we will never forget, look! We're experiencing so many different cultures and lands. They visited museums, churches, and historic sites, feeling grateful for the opportunity to learn about history and broaden their horizons.",INTJ,,,,,,,,,L,0
"The team won a championship tournament and secured a spot in the playoffs. We never thought we would get this far, look! We're proving that hard work pays off. The players hugged and congratulated each other as they cheered in triumph, feeling proud of what they had accomplished together.",INTJ,,,,,,,,,L,1
A child had just taken its first steps on its own. Look at that! He's walking all by himself now. The parents clapped and cheered as the little one took more steps.,INTJ,,,,,,,,,L,-1
"A group of friends went on a road trip across the country. This is going to be an unforgettable adventure, look! We're exploring new sights and making memories together. They visited landmarks, natural wonders, and famous cities, feeling grateful for the opportunity to experience so much together.",INTJ,,,,,,,,,L,0
"A group of friends went on a camping trip in the desert. This is an adventure like no other, look! We're surrounded by beautiful sand dunes and endless skies. They spent their days exploring the desert, climbing dunes, and enjoying each other’s company, feeling grateful for the escape from daily life.",INTJ,,,,,,,,,L,0
"A young woman won a scholarship to study at a prestigious university. This is an opportunity I never thought I would have, look! I can't wait to see where my education takes me. She packed her bags and said goodbye to her friends and family as she embarked on her educational journey, feeling grateful for the chance to learn from some of the best in the field. 123. The artist completed her latest painting and shared it with the world. I'm so happy with how this turned out, look! I can't wait to see what others think of my work. The painting was well-received by both critics and art lovers alike, bringing even more recognition to the artist. 124. A group of friends went on a camping trip in the mountains. This is an adventure like no other, look! We're surrounded by beautiful landscapes and fresh air. They spent their days exploring trails, climbing peaks, and enjoying each other’s company, feeling grateful for the escape from daily life.",INTJ,,,,,,,,,L,1
"The team won a championship tournament and advanced to the playoffs. We never thought we would get this far, look! We're proving that hard work pays off. The players hugged and congratulated each other as they prepared for their next game, feeling focused and energized.",INTJ,,,,,,,,,L,1
"A young woman won a scholarship to study abroad in another country. This is an opportunity of a lifetime, look! I can't wait to learn about new cultures and make lifelong friendships. She packed her bags and said goodbye to her friends and family as she embarked on her educational journey, feeling excited and nervous for what was to come.",INTJ,,,,,,,,,L,1
"The team won a championship tournament and secured a spot in the world finals. We can't believe we made it this far, look! We're ready to take on the best teams in the world. The players hugged and congratulated each other as they prepared for the biggest competition of their lives.",INTJ,,,,,,,,,L,1
"The artist completed her latest painting and entered it in a competition. I hope this painting will make an impact, look! I'm proud of my work and believe that it has the potential to win. The painting was well-received by both judges and art lovers alike, bringing even more recognition to the artist.",INTJ,,,,,,,,,L,1
"The team won a championship tournament and secured a spot in the playoffs. We never thought we would get this far, look! We're proving that hard work pays off. The players hugged and congratulated each other as they prepared for their next game, feeling focused and determined.",INTJ,,,,,,,,,L,1
"The team won a championship tournament and advanced to the world finals. We can't believe we made it this far, look! We're ready to represent our country on the global stage. The players hugged and congratulated each other as they prepared for their biggest competition yet. 142. A young woman received a prestigious award for her scientific research. This is an amazing achievement, look! I'm proud to have made a contribution to science. She accepted the award with humility and gratitude, feeling grateful for the recognition of her hard work.",INTJ,,,,,,,,,L,1
"A group of friends went on a camping trip in the rainforest. This is an adventure like no other, look! We're surrounded by lush vegetation and diverse wildlife. They spent their days exploring trails, spotting animals, and enjoying each other’s company, feeling grateful for the chance to escape.",INTJ,,,,,,,,,L,0
"A group of friends went on a camping trip in the mountains. This is an adventure like no other, look! We're surrounded by breathtaking scenery and fresh air. They spent their days exploring trails, climbing peaks, and enjoying each other’s company, feeling grateful for the escape from daily life.",INTJ,,,,,,,,,L,0
"The team won a championship tournament and advanced to the world finals. We can't believe we made it this far, look! We're ready to represent our country on the global stage. The players hugged and congratulated each other as they prepared for their biggest competition yet. 166. A young woman received recognition for her contributions to environmental conservation efforts. This means so much to me, look! I feel proud to have made a difference in preserving our planet for future generations. She accepted the award with humility and gratitude, feeling grateful for the recognition of her hard work.",INTJ,,,,,,,,,L,1
"The artist completed a series of paintings and held an exhibition at a museum. I'm so proud of this body of work, look! I can't wait to share it with the world. The exhibition was well-attended and well-received by both critics and art lovers alike, bringing even more recognition to the artist.",INTJ,,,,,,,,,L,1
"The team won a championship tournament and celebrated their victory with their families. This is an amazing moment, look! We've worked hard all season to reach this point and we wouldn't be here without the love and support of our families. The players hugged and congratulated each other as they shared their success with their loved ones, feeling grateful for their unwavering support.",INTJ,,,,,,,,,L,1
"The artist completed a series of paintings and shared them with the world. I'm so proud of this body of work, look! I hope it resonates with people on an emotional level and sparks conversations about important issues. The paintings were well-received by both critics and art lovers alike, bringing even more recognition to the artist.",INTJ,,,,,,,,,L,1
"A young woman received recognition for her contributions to environmental conservation efforts. This is a significant achievement, look! I'm proud to have made a difference in preserving the natural world for future generations. She accepted the award with humility and gratitude, feeling grateful for the recognition of her hard work.",INTJ,,,,,,,,,L,1
"A new student walked into the class for the first time. Here comes the new kid, look. Let's make him feel welcome. The other students greeted him warmly as he took his seat.",INTJ,,,,,,,,,L,-1
"A team of researchers made a groundbreaking discovery in the field of physics. This is an incredible achievement, look! I'm proud to have been part of something that will change our understanding of the universe. The scientists presented their findings at a prestigious conference, feeling grateful for the opportunity to share their work with others.",INTJ,,,,,,,,,L,1
"A group of artists came together to create a public sculpture celebrating resilience. This is an amazing project, look! I'm proud to have been part of something that brings hope and inspiration to our community. The sculpture received widespread praise from the local residents, feeling grateful for the chance to make a positive impact.",INTJ,,,,,,,,,L,1
"A team of researchers made a groundbreaking discovery in the field of technology. This is an incredible achievement, look! I'm proud to have been part of something that has the potential to revolutionize our world. The scientists presented their findings at a prestigious conference, feeling grateful for the opportunity to share their work with others.",INTJ,,,,,,,,,L,1
"A team of scientists made a groundbreaking discovery in the field of astrophysics. This is an incredible achievement, look! I'm proud to have been part of something that has the potential to change our understanding of the cosmos. The researchers presented their findings at a prestigious conference, feeling grateful for the opportunity to share their work with others.",INTJ,,,,,,,,,L,1
"A group of artists came together to create a public art exhibit that explores themes of identity. This is an amazing project, look! I'm proud to have been part of something that showcases the diversity and complexity of human experiences. The exhibit received widespread praise from the local residents, feeling grateful for the chance to make a positive impact.",INTJ,,,,,,,,,L,1
"A team of scientists made a groundbreaking discovery in the field of computer science. This is an incredible achievement, look! I'm proud to have been part of something that has the potential to transform our understanding of artificial intelligence and digital systems. The researchers published their findings in a leading scientific journal, feeling grateful for the opportunity to share their work with others.",INTJ,,,,,,,,,L,1
"A young girl won a prestigious award for her scientific research. This is amazing, look! I can't believe I won such a big prize. Her parents hugged and congratulated her as she held up the trophy.",INTJ,,,,,,,,,L,1
"A young boy showed his mother a drawing he made at school. Look at this, mom! I'm so proud of what I made. His mother looked at the drawing with tears in her eyes and hugged him tightly.",INTJ,,,,,,,,,L,-1
"The group of friends went on a camping trip in the woods. Wow, this is beautiful, look! It feels like we're in another world. They set up camp and spent the night telling ghost stories and roasting marshmallows over a fire.",INTJ,,,,,,,,,L,0
