sample,function,source,Time,Time .1,Token number,tape number,clause I,clause f,clause m,Label,cluster,cluster_color,is_real
"The team won a championship tournament and secured a spot in the playoffs. We never thought we would get this far, look! We're proving that hard work pays off. The players hugged and congratulated each other as they cheered in triumph, feeling proud of what they had accomplished together.",INTJ,,,,,,,,,L,1,tab10_color_1,False
"A young woman won a scholarship to study at a prestigious university. This is an opportunity I never thought I would have, look! I can't wait to see where my education takes me. She packed her bags and said goodbye to her friends and family as she embarked on her educational journey, feeling grateful for the chance to learn from some of the best in the field. 123. The artist completed her latest painting and shared it with the world. I'm so happy with how this turned out, look! I can't wait to see what others think of my work. The painting was well-received by both critics and art lovers alike, bringing even more recognition to the artist. 124. A group of friends went on a camping trip in the mountains. This is an adventure like no other, look! We're surrounded by beautiful landscapes and fresh air. They spent their days exploring trails, climbing peaks, and enjoying each other’s company, feeling grateful for the escape from daily life.",INTJ,,,,,,,,,L,1,tab10_color_1,False
"The team won a championship tournament and advanced to the playoffs. We never thought we would get this far, look! We're proving that hard work pays off. The players hugged and congratulated each other as they prepared for their next game, feeling focused and energized.",INTJ,,,,,,,,,L,1,tab10_color_1,False
"A young woman won a scholarship to study abroad in another country. This is an opportunity of a lifetime, look! I can't wait to learn about new cultures and make lifelong friendships. She packed her bags and said goodbye to her friends and family as she embarked on her educational journey, feeling excited and nervous for what was to come.",INTJ,,,,,,,,,L,1,tab10_color_1,False
"The team won a championship tournament and secured a spot in the world finals. We can't believe we made it this far, look! We're ready to take on the best teams in the world. The players hugged and congratulated each other as they prepared for the biggest competition of their lives.",INTJ,,,,,,,,,L,1,tab10_color_1,False
"The artist completed her latest painting and entered it in a competition. I hope this painting will make an impact, look! I'm proud of my work and believe that it has the potential to win. The painting was well-received by both judges and art lovers alike, bringing even more recognition to the artist.",INTJ,,,,,,,,,L,1,tab10_color_1,False
"The team won a championship tournament and secured a spot in the playoffs. We never thought we would get this far, look! We're proving that hard work pays off. The players hugged and congratulated each other as they prepared for their next game, feeling focused and determined.",INTJ,,,,,,,,,L,1,tab10_color_1,False
"The team won a championship tournament and advanced to the world finals. We can't believe we made it this far, look! We're ready to represent our country on the global stage. The players hugged and congratulated each other as they prepared for their biggest competition yet. 142. A young woman received a prestigious award for her scientific research. This is an amazing achievement, look! I'm proud to have made a contribution to science. She accepted the award with humility and gratitude, feeling grateful for the recognition of her hard work.",INTJ,,,,,,,,,L,1,tab10_color_1,False
"The team won a championship tournament and advanced to the world finals. We can't believe we made it this far, look! We're ready to represent our country on the global stage. The players hugged and congratulated each other as they prepared for their biggest competition yet. 166. A young woman received recognition for her contributions to environmental conservation efforts. This means so much to me, look! I feel proud to have made a difference in preserving our planet for future generations. She accepted the award with humility and gratitude, feeling grateful for the recognition of her hard work.",INTJ,,,,,,,,,L,1,tab10_color_1,False
"The artist completed a series of paintings and held an exhibition at a museum. I'm so proud of this body of work, look! I can't wait to share it with the world. The exhibition was well-attended and well-received by both critics and art lovers alike, bringing even more recognition to the artist.",INTJ,,,,,,,,,L,1,tab10_color_1,False
