sample,function,source,Time,Time .1,Token number,tape number,clause I,clause f,clause m,Label,cluster,cluster_color,is_real
A child had just taken its first steps on its own. Look at that! He's walking all by himself now. The parents clapped and cheered as the little one took more steps.,INTJ,,,,,,,,,L,-1,gray (noise),False
"A new student walked into the class for the first time. Here comes the new kid, look. Let's make him feel welcome. The other students greeted him warmly as he took his seat.",INTJ,,,,,,,,,L,-1,gray (noise),False
"A young boy showed his mother a drawing he made at school. Look at this, mom! I'm so proud of what I made. His mother looked at the drawing with tears in her eyes and hugged him tightly.",INTJ,,,,,,,,,L,-1,gray (noise),False
"A young woman received an unexpected promotion at work. Wow, I can’t believe it, look! I’m officially a manager now. Her coworkers cheered and congratulated her as she accepted the new title.",INTJ,,,,,,,,,L,-1,gray (noise),False
"The singer gave a passionate performance at a music festival. This is incredible, look! You really know how to move an audience. The crowd cheered and sang along as she closed the show with her hit song.",INTJ,,,,,,,,,L,-1,gray (noise),False
"A young woman discovered a beautiful waterfall on a hike in the mountains. This is unbelievable, look! I feel like I'm in paradise. She sat by the waterfall, listening to the calming sounds of the rushing water.",INTJ,,,,,,,,,L,-1,gray (noise),False
"A group of students started a campaign to raise money for charity. Look at what we’ve accomplished, look! It's amazing how much impact we've made in just a short amount of time. They stood in front of the community center where they had collected donations, feeling proud of their efforts.",INTJ,,,,,,,,,L,-1,gray (noise),False
"A young boy was chosen as the mascot for his school’s sports team. I can't believe I get to represent my school, look! This is so exciting. He wore his costume with pride, knowing that he would make people smile every time he appeared at a game.",INTJ,,,,,,,,,L,-1,gray (noise),False
"The detective entered the crime scene with a grim expression. What on earth could have caused this? Look, there's a strange symbol here. Everyone's eyes followed him as he studied the markings closely.",INTJ,,,,,,,,,L,-1,gray (noise),False
"A group of artists came together to create a mural in their community. This is going to be something special, look! We're creating something that will be here for years to come. They worked tirelessly for weeks, painting every detail with passion and skill.",INTJ,,,,,,,,,L,-1,gray (noise),False
"A group of students started a campaign to raise money for charity. We can make such a difference, look! We just need to spread the word and get people involved. They organized events and fundraisers, feeling proud of the impact they were making in their community.",INTJ,,,,,,,,,L,-1,gray (noise),False
"In the bustling market, a vendor displayed a unique painting. Look! The colors are vibrant and the details are stunning. Customers stopped to marvel at the artwork.",INTJ,,,,,,,,,L,-1,gray (noise),False
The boy opened the present nervously.Look! It's a brand new bicycle!He leapt off his seat in joy and rode around the room.,INTJ,,,,,,,,,L,-1,gray (noise),False
