sample,function,source,Time,Time .1,Token number,tape number,clause I,clause f,clause m,Label,cluster
"OhLook, it's just a wee light",DIR,BNCFXM,,,29.0,93815.0,1.0,0.0,0.0,,-1
"The teacher saw students cheating during exams, leading to an unequal learning environment where only those who cheat excel. Look, emphasize integrity by refraining from dishonest behavior; uphold academic honesty as a foundation for fairness and justice in the classroom. Students developed moral character by embracing ethical values in their scholarly pursuits, ultimately preparing themselves for success beyond academia.",DIR,,,,,,,,,L,0
"The teacher saw students failing to ask questions during class sessions, leading to confusion or missed opportunities to learn. Look, embrace a culture of curiosity by asking thoughtful questions throughout lessons; demonstrate your eagerness to expand your knowledge through active engagement in classroom discussions. Students learned more effectively as they engaged in open dialogue with teachers and peers, challenging each other to deepen their understanding.",DIR,,,,,,,,,L,0
"The teacher saw students taking advantage of lenient deadlines by consistently submitting assignments late.Look, adhere to set timelines; respect your peers' and teachers' time by delivering high-quality work in a timely manner.Students developed valuable discipline by learning to prioritize tasks efficiently and meeting deadlines consistently.",DIR,,,,,,,,,L,0
"The teacher saw students failing to complete group projects efficiently due to lack of organization or collaboration skills.Look, plan assignments in advance, delegate tasks fairly, and communicate effectively to produce successful outcomes.Students discovered the value of teamwork by learning to collaborate successfully with their peers.",DIR,,,,,,,,,L,0
"The teacher saw students relying solely on textbooks without exploring alternative sources or primary research. Look, delve deeper into subjects by accessing a variety of resources including academic articles, books, online databases, and interviews with experts; broaden your understanding through diverse perspectives. Students expanded their knowledge horizons and critical thinking skills as they gained new insights from various educational sources.",DIR,,,,,,,,,L,-1
"The artist observed a colleague using copycat techniques rather than original designs.Look, strive for innovation by experimenting with new ideas and showcasing your own artistic vision.The colleague's artwork gained recognition for its fresh perspective and creative approach.",DIR,,,,,,,,,L,-1
"The teacher saw students taking credit for other people's work during group projects. Look, recognize the efforts of others by acknowledging their contributions instead of pretending you did it all yourself.The class developed respect and trust within its members thanks to collaborative problem-solving skills.",DIR,,,,,,,,,L,0
"The nurse saw a patient not following postoperative care instructions after a major surgery. Look, listen carefully and follow your surgeon's advice for proper recovery process.The patient made a swift and successful recovery due to adhering to their post-op regimen.",DIR,,,,,,,,,L,0
"The teacher saw students struggling academically due to lack of motivation or low self-esteem, potentially causing disengagement from learning and missed opportunities for personal growth.Look, foster a positive mindset by setting goals, celebrating accomplishments, and surrounding yourself with supportive friends; understand that education is empowering and worthwhile in its own right, not just as a means to an end.Students flourished academically through cultivation of motivation, self-esteem, and dedication to personal development, ultimately unlocking opportunities for personal growth and fulfillment in all aspects of their lives.",DIR,,,,,,,,,L,0
"The teacher saw students engaging in destructive behavior within the school environment, such as vandalism or theft. Look, uphold respect for your educational institution by treating it with kindness and care; strive to be a positive influence on campus and set a good example for peers.Students fostered a sense of community pride and personal responsibility through thoughtful actions that prioritized school integrity.",DIR,,,,,,,,,L,0
"The teacher saw students engaging in academic dishonesty such as plagiarism or cheating on assignments or exams, compromising their own learning experiences and undermining trust within the educational community. Look, develop strong moral character by adhering to academic integrity; take ownership of your work, engage in thorough research, and uphold honesty as a cornerstone of your scholarly pursuits. Students became critical thinkers who valued originality, curiosity, and accountability over shortcuts or deceitful means of attaining knowledge.",DIR,,,,,,,,,L,0
"The teacher saw students engaging in cyberbullying or online harassment, damaging the emotional wellbeing of peers and eroding trust within the educational community. Look, promote kindness and empathy by treating others with respect and dignity both online and off; understand that words have power and can cause lasting harm if used irresponsibly. Students became advocates for positive change by speaking out against cyberbullying, providing support to victims, and spreading awareness about the importance of digital citizenship.",DIR,,,,,,,,,L,0
