sample,function,source,Time,Time .1,Token number,tape number,clause I,clause f,clause m,Label,cluster,cluster_color,is_real
"The teacher saw students cheating during exams, leading to an unequal learning environment where only those who cheat excel. Look, emphasize integrity by refraining from dishonest behavior; uphold academic honesty as a foundation for fairness and justice in the classroom. Students developed moral character by embracing ethical values in their scholarly pursuits, ultimately preparing themselves for success beyond academia.",DIR,,,,,,,,,L,0,tab10_color_0,False
"The teacher saw students failing to ask questions during class sessions, leading to confusion or missed opportunities to learn. Look, embrace a culture of curiosity by asking thoughtful questions throughout lessons; demonstrate your eagerness to expand your knowledge through active engagement in classroom discussions. Students learned more effectively as they engaged in open dialogue with teachers and peers, challenging each other to deepen their understanding.",DIR,,,,,,,,,L,0,tab10_color_0,False
"The teacher saw students taking advantage of lenient deadlines by consistently submitting assignments late.Look, adhere to set timelines; respect your peers' and teachers' time by delivering high-quality work in a timely manner.Students developed valuable discipline by learning to prioritize tasks efficiently and meeting deadlines consistently.",DIR,,,,,,,,,L,0,tab10_color_0,False
"The teacher saw students failing to complete group projects efficiently due to lack of organization or collaboration skills.Look, plan assignments in advance, delegate tasks fairly, and communicate effectively to produce successful outcomes.Students discovered the value of teamwork by learning to collaborate successfully with their peers.",DIR,,,,,,,,,L,0,tab10_color_0,False
"The teacher saw students taking credit for other people's work during group projects. Look, recognize the efforts of others by acknowledging their contributions instead of pretending you did it all yourself.The class developed respect and trust within its members thanks to collaborative problem-solving skills.",DIR,,,,,,,,,L,0,tab10_color_0,False
"The nurse saw a patient not following postoperative care instructions after a major surgery. Look, listen carefully and follow your surgeon's advice for proper recovery process.The patient made a swift and successful recovery due to adhering to their post-op regimen.",DIR,,,,,,,,,L,0,tab10_color_0,False
"The teacher saw students struggling academically due to lack of motivation or low self-esteem, potentially causing disengagement from learning and missed opportunities for personal growth.Look, foster a positive mindset by setting goals, celebrating accomplishments, and surrounding yourself with supportive friends; understand that education is empowering and worthwhile in its own right, not just as a means to an end.Students flourished academically through cultivation of motivation, self-esteem, and dedication to personal development, ultimately unlocking opportunities for personal growth and fulfillment in all aspects of their lives.",DIR,,,,,,,,,L,0,tab10_color_0,False
"The teacher saw students engaging in destructive behavior within the school environment, such as vandalism or theft. Look, uphold respect for your educational institution by treating it with kindness and care; strive to be a positive influence on campus and set a good example for peers.Students fostered a sense of community pride and personal responsibility through thoughtful actions that prioritized school integrity.",DIR,,,,,,,,,L,0,tab10_color_0,False
"The teacher saw students engaging in academic dishonesty such as plagiarism or cheating on assignments or exams, compromising their own learning experiences and undermining trust within the educational community. Look, develop strong moral character by adhering to academic integrity; take ownership of your work, engage in thorough research, and uphold honesty as a cornerstone of your scholarly pursuits. Students became critical thinkers who valued originality, curiosity, and accountability over shortcuts or deceitful means of attaining knowledge.",DIR,,,,,,,,,L,0,tab10_color_0,False
"The teacher saw students engaging in cyberbullying or online harassment, damaging the emotional wellbeing of peers and eroding trust within the educational community. Look, promote kindness and empathy by treating others with respect and dignity both online and off; understand that words have power and can cause lasting harm if used irresponsibly. Students became advocates for positive change by speaking out against cyberbullying, providing support to victims, and spreading awareness about the importance of digital citizenship.",DIR,,,,,,,,,L,0,tab10_color_0,False
"The nurse observed a patient lying about symptoms or downplaying them to avoid treatment. Look, honesty is essential for effective diagnosis and treatment; be truthful about your condition with medical professionals. Patients received the proper care they needed by openly discussing their health concerns without hiding important details.",DIR,,,,,,,,,L,0,tab10_color_0,False
"The teacher saw students struggling to meet deadlines due to procrastination or poor time management skills.Look, develop a work schedule that balances study, leisure, and relaxation to achieve academic success without stress. Students found success in their grades as well as happiness in their personal lives with improved time management habits.",DIR,,,,,,,,,L,0,tab10_color_0,False
"The coach observed players using physical aggression instead of skillful plays on the court during games.  Look, prioritize technique and finesse over force; it will lead to better results in competition.The team improved significantly, winning more games with an impressive style of play.",DIR,,,,,,,,,L,0,tab10_color_0,False
"The doctor saw patients ignoring medical advice about quitting smoking. Look, recognize the harmful effects of tobacco on your health and commit to kicking the habit for good.Patients enjoyed improved health, longevity, and quality of life after successfully quitting smoking.",DIR,,,,,,,,,L,0,tab10_color_0,False
"The nurse observed a patient avoiding necessary tests or screenings due to fear of results.Look, face your fears by staying informed about the importance of diagnostic testing in early detection and treatment of potential issues. Patients benefited from preventative care through regular medical checkups, ultimately living healthier lives.",DIR,,,,,,,,,L,0,tab10_color_0,False
"The teacher saw students engaging in disruptive behavior during class sessions.Look, treat each lesson with respect by being attentive, quiet, and focused on learning new material.Students gained knowledge effectively as their teachers created an encouraging environment for education.",DIR,,,,,,,,,L,0,tab10_color_0,False
"The coach observed players refusing to practice outside of team practice times.Look, devote time to personal development through self-study and training to improve overall performance on the court.Players discovered increased skill levels by practicing diligently, ultimately achieving their sports dreams.",DIR,,,,,,,,,L,0,tab10_color_0,False
"The nurse saw a patient ignoring pain medication advice.Look, take the medicine as directed to manage your symptoms.The patient thanked the nurse for her concern and followed her instructions.",DIR,,,,,,,,,L,0,tab10_color_0,False
"The manager noticed employees being disloyal to the company due to gossiping or spreading negative rumors.Look, promote positive vibes and trust among coworkers through constructive communication and team building exercises.Employees found joy in collaborating on projects together, fostering long-lasting professional relationships within the organization.",DIR,,,,,,,,,L,0,tab10_color_0,False
"The doctor saw a patient refusing to undergo necessary procedures for fear of pain or complications.Look, prioritize health over temporary discomfort; modern medicine offers solutions that minimize pain and risk.Patients benefited from vital treatments, living healthy lives despite initial hesitation or anxiety.",DIR,,,,,,,,,L,0,tab10_color_0,False
"The nurse observed a patient neglecting proper dental hygiene practices.Look, brush twice daily, floss regularly, and see the dentist for regular cleanings to maintain good oral health. Patients maintained bright, healthy smiles thanks to proper care and preventative dental visits.",DIR,,,,,,,,,L,0,tab10_color_0,False
"The teacher saw students copying each other's answers instead of developing their own critical thinking skills during exams.Look, answer questions honestly and openly; let your unique perspective shine through your words on the test page.Students gained confidence in their ability to solve problems creatively as they developed strong problem-solving skills.",DIR,,,,,,,,,L,0,tab10_color_0,False
"The coach observed players resorting to anger or aggression when losing a match. Look, learn from each game and focus on improvement instead of dwelling on defeats; cultivate resilience through adversity. Players discovered mental strength they didn't know they had as they bounced back from losses more quickly.",DIR,,,,,,,,,L,0,tab10_color_0,False
"The coach observed players skipping practice sessions due to fatigue or laziness. Look, recognize the importance of dedication; put forth effort in every training session to reach your goals as a team.Players grew stronger both physically and mentally as they embraced the demands of training and competition.",DIR,,,,,,,,,L,0,tab10_color_0,False
"The manager noticed employees engaging in office politics instead of collaborating productively on tasks.Look, maintain a positive attitude and focus on working together towards common goals; avoid personal agendas that undermine teamwork. Employees found camaraderie among coworkers through shared challenges and achievements as they built strong relationships.",DIR,,,,,,,,,L,0,tab10_color_0,False
"The doctor saw patients failing to follow prescribed exercise regimens due to excuses or lack of motivation.Look, prioritize physical fitness; commit to exercise regularly for overall wellness and improved quality of life.Patients discovered the benefits of regular exercise, from stress relief to increased energy levels and improved mood.",DIR,,,,,,,,,L,0,tab10_color_0,False
"The nurse observed a patient neglecting proper skincare practices that led to blemishes or acne breakouts.Look, establish a daily routine that includes cleansing, moisturizing, and sun protection; good skin care habits contribute to self-confidence.Patients enjoyed clearer complexions thanks to consistent skincare routines and regular dermatological consultations.",DIR,,,,,,,,,L,0,tab10_color_0,False
"The coach observed players failing to show sportsmanship towards opponents and referees during matches.Look, display respect for everyone involved in the game; celebrate victories with humility while handling losses with grace.Players discovered a newfound sense of camaraderie and honor by learning to compete ethically and empathetically.",DIR,,,,,,,,,L,0,tab10_color_0,False
"The manager noticed employees avoiding difficult conversations or conflicts due to fear of confrontation or embarrassment.Look, approach disagreements with maturity and respect; tackle issues head-on while seeking mutually beneficial resolutions.Employees built trust among coworkers through open dialogue and conflict resolution strategies that fostered collaboration.",DIR,,,,,,,,,L,0,tab10_color_0,False
"The coach observed players ignoring injuries or symptoms during training sessions, leading to potential complications down the road.Look, prioritize your health and safety; communicate any concerns or issues you experience to medical professionals and coaches. Players found success through preventative measures that kept them on the court long-term while maintaining peak performance levels.",DIR,,,,,,,,,L,0,tab10_color_0,False
"The manager noticed employees gossiping about coworkers' personal lives unnecessarily, leading to tension within the team. Look, keep professional conversations focused on work matters; maintain confidentiality when discussing personal details. Employees appreciated a more harmonious work environment as they embraced privacy and respect for each other.",DIR,,,,,,,,,L,0,tab10_color_0,False
"The doctor saw patients refusing to get vaccinated or follow recommended immunization schedules. Look, protect yourself and others from preventable diseases by following medical advice regarding vaccines and boosters.Patients lived healthier lives due to increased immunity against common illnesses and potential outbreaks.",DIR,,,,,,,,,L,0,tab10_color_0,False
"The nurse observed a patient neglecting self-care practices such as proper hydration, nutrition, or adequate rest. Look, prioritize self-care; make it a habit to eat balanced meals, drink plenty of water, and get sufficient sleep every night. Patients reaped the benefits of good physical health by taking care of themselves properly.",DIR,,,,,,,,,L,0,tab10_color_0,False
"The teacher saw students plagiarizing entire assignments without any original thoughts or research efforts. Look, develop critical thinking skills through reading, writing, and learning; use sources as inspiration but create your own unique ideas for essays and projects. Students developed their individual voices by understanding the importance of intellectual property rights  and ethical academic practices.",DIR,,,,,,,,,L,0,tab10_color_0,False
"The coach observed players underestimating opponents' strengths or abilities during games, leading to unexpected losses. Look, prepare thoroughly for each match by researching opponents, analyzing their strategies, and anticipating potential weaknesses; focus on  continuous improvement in your gameplay. Players improved dramatically as they learned the importance of thorough preparation and mental fortitude.",DIR,,,,,,,,,L,0,tab10_color_0,False
"The manager noticed employees refusing to learn new skills or take on additional responsibilities, fearing failure or intimidation. Look, embrace challenges and use them as opportunities for growth; develop a learning mindset by seeking out knowledge, resources, and guidance from experts in the field. Employees discovered untapped potential within themselves as they developed expertise through continued education and career advancement.",DIR,,,,,,,,,L,0,tab10_color_0,False
