sample,function,source,Time,Time .1,Token number,tape number,clause I,clause f,clause m,Label,cluster,cluster_color,is_real
"OhLook, it's just a wee light",DIR,BNCFXM,,,29.0,93815.0,1.0,0.0,0.0,,-1,gray (noise),True
"The teacher saw students relying solely on textbooks without exploring alternative sources or primary research. Look, delve deeper into subjects by accessing a variety of resources including academic articles, books, online databases, and interviews with experts; broaden your understanding through diverse perspectives. Students expanded their knowledge horizons and critical thinking skills as they gained new insights from various educational sources.",DIR,,,,,,,,,L,-1,gray (noise),False
"The artist observed a colleague using copycat techniques rather than original designs.Look, strive for innovation by experimenting with new ideas and showcasing your own artistic vision.The colleague's artwork gained recognition for its fresh perspective and creative approach.",DIR,,,,,,,,,L,-1,gray (noise),False
"The librarian saw patrons using books as chairs while studying.Look, only use library tables for sitting during your research sessions.The patrons thanked her for keeping the library clean and comfortable.",DIR,,,,,,,,,L,-1,gray (noise),False
"The chef observed the apprentice forgetting to clean the knife.Look, wash that off and sanitize it immediately.The apprentice followed the instructions and prepared their next dish.",DIR,,,,,,,,,L,-1,gray (noise),False
He paid a debt which he did not owe because we are a debt that we will never be able to pay.,DIR,BNCKGT,,,871.0,121401.0,1.0,0.0,0.0,,-1,gray (noise),True
lie down now. Look. He's coming in,DIR,BNCKB1,,,271.0,5980.0,1.0,0.0,0.0,,-1,gray (noise),True
[shouting] Look!,DIR,BNCKB3,,,780.0,6640.0,1.0,0.0,0.0,,-1,gray (noise),True
"The engineer struggled to decipher the complex wiring diagram.Look, find the ground wire and disconnect it first.He quickly identified the ground wire and cut off the power supply.",DIR,,,,,,,,,L,-1,gray (noise),False
"The firefighter saw his teammate about to enter a burning building without protection.Look, put on your gear first! That's what it's there for.They donned their protective clothing and entered the burning building cautiously.",DIR,,,,,,,,,L,-1,gray (noise),False
"The manager found an employee wasting time online.Look, close those tabs and start your task right away.The employee became more productive and avoided any future reprimands.",DIR,,,,,,,,,L,-1,gray (noise),False
"The manager noticed employees failing to meet sales targets due to complacency or a lack of ambition. Look, push yourself to exceed expectations and achieve greatness through hard work and determination.Employees discovered they had untapped potential within themselves as they surpassed sales goals repeatedly.",DIR,,,,,,,,,L,-1,gray (noise),False
"The supervisor saw an employee sorting merchandise in disorganized piles.Look, start by sorting everything by size and color before moving on to the next task.The employee nodded and got right to work on organizing the stockroom.",DIR,,,,,,,,,L,-1,gray (noise),False
"The manager noticed employees wasting company resources such as paper, ink, or energy unnecessarily. Look, be mindful of your actions and avoid unnecessary consumption; wastefulness can strain budgets and negatively impact the environment. Employees reduced their carbon footprint while simultaneously boosting company profits through responsible use of resources.",DIR,,,,,,,,,L,-1,gray (noise),False
"The manager noticed his colleague arguing with a customer at the checkout.Look, let me handle this situation. I know how to de-escalate it.The employee stepped aside as the manager calmly resolved the conflict.",DIR,,,,,,,,,L,-1,gray (noise),False
"The mechanic observed a car making a strange noise.Look, let's open the hood and investigate that sound.Together they found the issue and replaced the faulty part.",DIR,,,,,,,,,L,-1,gray (noise),False
"The teacher saw students plagiarizing content from sources without proper citation or attribution.Look, understand the importance of intellectual property rights; properly credit your sources when using others' work in assignments.Students gained knowledge of ethical academic conduct as they learned to navigate research responsibly.",DIR,,,,,,,,,L,-1,gray (noise),False
"The artist noticed a colleague not using the correct paint.Look, switch to titanium white for better contrast.The painting came alive with the newfound brilliance of color.",DIR,,,,,,,,,L,-1,gray (noise),False
"The zookeeper found an impatient visitor trying to feed the animals improper food.Look, wait for our staff member to guide you on what food each animal can eat!The guest agreed and followed the zoo's instructions on animal feeding.",DIR,,,,,,,,,L,-1,gray (noise),False
"The doctor saw a patient using an outdated exercise method.Look, perform these stretches instead to improve your mobility.The patient reported significant improvement in just one week.",DIR,,,,,,,,,L,-1,gray (noise),False
"The gardener saw a passerby attempting to pick flowers in his garden.Look, those are protected plants—please refrain from picking them!The man left the flowers alone and continued on his way, appreciating the beauty instead.",DIR,,,,,,,,,L,-1,gray (noise),False
"The manager noticed employees making poor decisions based on emotions rather than logic, leading to suboptimal outcomes. Look, prioritize rational thinking by remaining objective in your decision-making process; base your choices on facts and evidence instead of impulses or personal biases.Employees achieved better results through effective problem-solving techniques that balanced emotional intelligence with analytical rigor.",DIR,,,,,,,,,L,-1,gray (noise),False
"The coach found one of his players fidgeting on the bench during a crucial game.Look, focus on your breathing and visualize a successful play in your mind.The player did as instructed and returned to the field, full of confidence.",DIR,,,,,,,,,L,-1,gray (noise),False
"The art teacher observed some students attempting to mix colors recklessly.Look, try mixing complementary colors first before adding secondary ones for more vibrant results.The students diligently followed their teacher's advice, resulting in a beautiful palette.",DIR,,,,,,,,,L,-1,gray (noise),False
"The chef found a cook not following recipe instructions.Look, adhere strictly to this recipe for the best results.The cook's dishes earned rave reviews and won them new customers.",DIR,,,,,,,,,L,-1,gray (noise),False
"The doctor saw patients refusing recommended treatments or medications due to fear, misconceptions, or mistrust in medical professionals.growth and fulfillment.openness and curiosity instead of apprehension or skepticism. openness and curiosity instead of apprehension or skepticism.",DIR,,,,,,,,,L,-1,gray (noise),False
"The bartender noticed a patron overindulging on drinks at the bar.Look, let me serve you water now so that you can stay hydrated.The guest agreed and appreciated the bartender's care as they enjoyed their evening.",DIR,,,,,,,,,L,-1,gray (noise),False
"The coach saw the athletes warming up carelessly.Look, stretch thoroughly and focus on your breathing.The team scored the winning goal with their improved agility.",DIR,,,,,,,,,L,-1,gray (noise),False
"The manager found the employee chatting with coworkers during work hours.Look, attend to your duties promptly so we can finish earlier.The employee's productivity increased, earning them a promotion.",DIR,,,,,,,,,L,-1,gray (noise),False
"The museum guard saw some visitors taking photographs in restricted areas.Look, please refrain from taking photos of any exhibits with red signs.The visitors respectfully complied, and the museum maintained its pristine condition.",DIR,,,,,,,,,L,-1,gray (noise),False
"The flight attendant observed a passenger using a mobile phone mid-flight.Look, turn off your device now until landing.The passenger obliged and placed their phone in the airplane mode.",DIR,,,,,,,,,L,-1,gray (noise),False
"The librarian watched as students passed books between each other without wearing gloves.Look, remember to wear disposable gloves when handling library books!The students understood the importance of protecting books from germs and bacteria.",DIR,,,,,,,,,L,-1,gray (noise),False
"The mechanic observed his apprentice making errors on the car.Look, triple-check all of your work before you move on.The apprentice fixed the car with accuracy and confidence.",DIR,,,,,,,,,L,-1,gray (noise),False
"The chef saw the sous chef using subpar ingredients.Look, only use the freshest produce to create our signature dishes.The restaurant received positive reviews from satisfied customers.",DIR,,,,,,,,,L,-1,gray (noise),False
"The construction worker saw his coworker attempting a task that was beyond their capabilities.Look, ask someone with more experience for help before continuing!Together, they successfully completed the project, learning something valuable in the process.",DIR,,,,,,,,,L,-1,gray (noise),False
"The security guard noticed two strangers whispering suspiciously near an entrance.Look, step away from the entrance and wait for my return so we can properly identify you.The individuals obliged, allowing the guard to conduct a thorough check of their credentials.",DIR,,,,,,,,,L,-1,gray (noise),False
"The teacher noticed students sleeping during a history lesson.Look, take a deep breath and try to stay alert.The students began focusing on the lesson and their grades improved.",DIR,,,,,,,,,L,-1,gray (noise),False
